,rmse,mae,mape,r2,nasa_score,mean_bias,max_error,train_time_s,n_params
CNN1D,0.15566805005073547,0.11010629683732986,69979360.0,0.7025184631347656,2.672945261001587,0.024439381435513496,0.5856256484985352,20.851256370544434,165121.0
BiLSTM,0.12367286533117294,0.07977628707885742,54804700.0,0.812237024307251,1.8589740991592407,-0.006770881824195385,0.7018213868141174,32.995959997177124,628929.0
TCN,0.14034707844257355,0.09524013102054596,68201576.0,0.7581935524940491,2.2364373207092285,-0.002906025853008032,0.6597603559494019,36.03050255775452,160769.0
Transformer,0.1309313029050827,0.08104436099529266,44620476.0,0.7895504236221313,1.9701579809188843,0.01887209713459015,0.6874410510063171,47.514928340911865,410369.0
HybridSTA,0.11879653483629227,0.07516294717788696,49390264.0,0.8267518281936646,1.7663685083389282,-0.001382504473440349,0.7878578901290894,26.296133995056152,71361.0
