,rmse,mae,mape,r2,nasa_score,mean_bias,max_error
LinReg,0.007653173059225082,0.006020240020006895,738363.8125,0.9990320801734924,0.34201931953430176,0.000139137395308353,0.025506317615509033
RF,0.010467323507549664,0.005884118762162935,1033221.4858080857,0.9981893789721599,0.32866504418678066,-0.0006386800820601195,0.12750587629053456
XGBoost,0.0106911426410079,0.00767772551625967,939251.0,0.9981111288070679,0.42846930027008057,-0.0008784020319581032,0.06083554029464722
LightGBM,0.010356383121337116,0.007398961820460423,554431.742653867,0.9982275561636373,0.41324919533874094,-0.0007997480001313365,0.08738285868866813
