,rmse,mae,r2,nasa_score
LinReg,0.29433026909828186,0.24297422170639038,-0.16356337070465088,5.63405704498291
RF,0.281861888593087,0.23815640893264983,-0.06706987030798062,5.531233470305724
XGBoost,0.3061414062976837,0.25218337774276733,-0.258821964263916,5.874575614929199
LightGBM,0.2985716609711382,0.2512612207523224,-0.19733950140365497,5.8452333750365355
CNN1D,0.2876088619232178,0.24477091431617737,-0.01546633243560791,5.715418815612793
BiLSTM,0.2854357957839966,0.2396363765001297,-0.00017940998077392578,5.676601409912109
TCN,0.2867385745048523,0.2398892045021057,-0.009330153465270996,5.697996139526367
Transformer,0.28782403469085693,0.24153250455856323,-0.016986370086669922,5.72229528427124
